io_mode,bandwidth,total_size,block_size,latency
1,8.0,32.0,17.0,32.874452114105225
1,8.0,32.0,18.0,17.875213146209717
1,8.0,32.0,19.0,12.957088232040403
1,8.0,32.0,20.0,11.246388673782349
1,8.0,32.0,21.0,9.959067821502686
1,8.0,32.0,22.0,8.028108596801758
1,8.0,32.0,23.0,6.178966760635376
1,8.0,32.0,24.0,5.307414770126343
1,8.0,32.0,25.0,5.6814703941345215
1,8.0,32.0,26.0,5.485052824020386
1,8.0,32.0,27.0,5.412478685379028
1,8.0,32.0,28.0,5.371649503707886
1,8.0,32.0,29.0,5.274090051651001
1,8.0,32.0,30.0,5.473785877227783
1,8.0,33.0,17.0,69.52473187446594
1,8.0,33.0,18.0,48.546143770217896
1,8.0,33.0,19.0,30.74915742874145
1,8.0,33.0,20.0,22.641899824142456
1,8.0,33.0,21.0,20.002779960632324
1,8.0,33.0,22.0,14.978039979934692
1,8.0,33.0,23.0,12.050826787948608
1,8.0,33.0,24.0,10.70805287361145
1,8.0,33.0,25.0,11.314068078994753
1,8.0,33.0,26.0,10.947678804397585
1,8.0,33.0,27.0,10.803874254226685
1,8.0,33.0,28.0,12.017082214355469
1,8.0,33.0,29.0,11.572343826293944
1,8.0,33.0,30.0,10.475494384765623
1,9.0,30.0,17.0,6.868900775909424
1,9.0,30.0,18.0,3.785501003265381
1,9.0,30.0,19.0,2.790969133377075
1,9.0,30.0,20.0,2.638122081756592
1,9.0,30.0,21.0,2.4919352531433105
1,9.0,30.0,22.0,1.83717679977417
1,9.0,30.0,23.0,1.4465768337249756
1,9.0,30.0,24.0,1.27095627784729
1,9.0,30.0,25.0,1.3581480979919434
1,9.0,30.0,26.0,1.3099400997161863
1,9.0,30.0,27.0,1.2685399055480957
1,9.0,30.0,28.0,1.2639975547790527
1,9.0,30.0,29.0,1.2163166999816897
1,9.0,30.0,30.0,1.2050683498382568
1,9.0,31.0,17.0,14.06339955329895
1,9.0,31.0,18.0,9.7518572807312
1,9.0,31.0,19.0,5.87449049949646
1,9.0,31.0,20.0,4.749483346939087
1,9.0,31.0,21.0,4.321459293365479
1,9.0,31.0,22.0,3.5455241203308105
1,9.0,31.0,23.0,2.76725435256958
1,9.0,31.0,24.0,2.542248249053955
1,9.0,31.0,25.0,2.7648870944976807
1,9.0,31.0,26.0,2.714355707168579
1,9.0,31.0,27.0,2.539289712905884
1,9.0,31.0,28.0,2.610357522964477
1,9.0,31.0,29.0,2.5451762676239014
1,9.0,31.0,30.0,2.531358480453491
1,9.0,32.0,17.0,29.158688068389893
1,9.0,32.0,18.0,20.916820526123047
1,9.0,32.0,19.0,11.941981554031372
1,9.0,32.0,20.0,9.762118101119995
1,9.0,32.0,21.0,9.500237941741943
1,9.0,32.0,22.0,6.853683233261108
1,9.0,32.0,23.0,5.570569753646851
1,9.0,32.0,24.0,4.9910502433776855
1,9.0,32.0,25.0,5.4849138259887695
1,9.0,32.0,26.0,5.737825632095337
1,9.0,32.0,27.0,5.086716413497925
1,9.0,32.0,28.0,6.019570827484131
1,9.0,32.0,29.0,5.0829479694366455
1,9.0,32.0,30.0,5.4553587436676025
1,9.0,33.0,17.0,76.431955575943
1,9.0,33.0,18.0,47.958895206451416
1,9.0,33.0,19.0,29.852221727371216
1,9.0,33.0,20.0,22.86046814918518
1,9.0,33.0,21.0,19.31623315811157
1,9.0,33.0,22.0,14.022190809249878
1,9.0,33.0,23.0,11.117226600646973
1,9.0,33.0,24.0,9.786280155181885
1,9.0,33.0,25.0,10.674101114273071
1,9.0,33.0,26.0,10.3823139667511
1,9.0,33.0,27.0,10.2923104763031
1,9.0,33.0,28.0,10.1645827293396
1,9.0,33.0,29.0,10.063806056976318
1,9.0,33.0,30.0,10.558224201202393
1,10.0,30.0,17.0,6.401779651641846
1,10.0,30.0,18.0,3.443345069885254
1,10.0,30.0,19.0,2.80669379234314
1,10.0,30.0,20.0,2.727123498916626
1,10.0,30.0,21.0,2.482431173324585
1,10.0,30.0,22.0,1.7304773330688477
1,10.0,30.0,23.0,1.387545824050903
1,10.0,30.0,24.0,1.4491238594055176
1,10.0,30.0,25.0,1.3581912517547607
1,10.0,30.0,26.0,1.2996041774749756
1,10.0,30.0,27.0,1.2492473125457764
1,10.0,30.0,28.0,1.2305569648742676
1,10.0,30.0,29.0,1.2091259956359863
